UserID,Nome,Veiculo,Placa,Data,Horario,UF,BR,KM,Municipio,Causa_Frequente,Mensagem_IA
1,Bruno Lima,Toyota Corolla,GHI-7917,2025-11-27,14:10,BA,367,"26,1",PORTO SEGURO,Reação tardia ou ineficiente do condutor,"Bruno Lima, Corolla, BR-367 KM 26,1: Atenção! Reaja rápido, risco alto de acidentes. PRF."
2,Patricia Rocha,Ford Ranger,VWX-5899,2025-11-27,17:25,AP,156,510,PRACUUBA,Reação tardia ou ineficiente do condutor,"Patricia, Ford Ranger, BR-156 KM 510 (Pracuuba): Atenção! Reação tardia causa acidentes frequentes. Dirija com atenção redobrada!"
3,Carlos Silva,Nissan Kicks,ABC-2850,2025-11-27,13:46,SP,381,37,ATIBAIA,Ausência de reação do condutor,"Carlos Silva, Kicks, BR-381, KM 37, Atibaia: Atenção redobrada! Alto risco de acidentes por falta de reação. Dirija com foco!"
4,Ricardo Almeida,Ford Ranger,MNO-4765,2025-11-27,22:40,PR,277,"721,9",FOZ DO IGUACU,Manobra de mudança de faixa,"Ricardo Almeida, Ford Ranger, BR-277 KM 721,9 (Foz): Atenção! Alto risco de acidentes por mudança de faixa. Dirija com cuidado!"
5,Bruno Lima,Jeep Compass,STU-8317,2025-11-27,15:42,SC,470,135,RIO DO SUL,Acessar a via sem observar a presença dos outros veículos,"**ALERTA, BRUNO!** KM 135, Rio do Sul (BR-470): Atenção ao acessar a via! Risco alto de acidentes por falta de atenção."
6,Julia Oliveira,Jeep Compass,GHI-6700,2025-11-27,20:31,PE,428,186,PETROLINA,Ingestão de álcool pelo condutor,"Julia Oliveira, Jeep Compass, BR-428 KM 186: Álcool e direção = risco de acidente. Dirija com responsabilidade!"
7,Patricia Rocha,Toyota Corolla,JKL-4162,2025-11-27,20:38,RJ,101,319,SAO GONCALO,Manobra de mudança de faixa,"Patricia Rocha, Corolla, BR-101 KM 319 (São Gonçalo): Cuidado! Alto risco de acidentes por mudança de faixa. Redobre a atenção."
8,Julia Oliveira,Renault Kwid,ABC-1903,2025-11-27,14:46,PR,376,668,GUARATUBA,Ausência de reação do condutor,"Julia Oliveira, atenção no KM 668 da BR-376 em Guaratuba! Muitos acidentes por falta de reação. Redobre a atenção!"
9,Patricia Rocha,Chevrolet Onix,PQR-7452,2025-11-27,07:57,CE,116,23,AQUIRAZ,Acessar a via sem observar a presença dos outros veículos,"Patricia, Onix, BR-116 KM 23 (Aquiraz): Atenção ao acessar a via! Risco alto de colisão por falta de atenção. Redobre o cuidado!"
10,Ana Souza,Hyundai Creta,VWX-1425,2025-11-27,15:04,RJ,101,"207,9",CASIMIRO DE ABREU,Manobra de mudança de faixa,"Ana, Creta, BR-101 KM 207,9 (Casimiro de Abreu): Cuidado! Alto risco de acidentes por mudança de faixa. Atenção redobrada!"
11,Ana Souza,Honda Civic,STU-7450,2025-11-27,21:19,PR,277,645,CEU AZUL,Ingestão de álcool pelo condutor,"**ALERTA, Ana Souza (Honda Civic): BR-277, KM 645 (Céu Azul). Risco ALTO de acidentes por álcool. Dirija com responsabilidade!**"
12,Pedro Santos,Ford Ranger,GHI-9117,2025-11-27,10:03,ES,262,151,IBATIBA,Problema com o freio,"Pedro Santos, Ford Ranger, BR-262 KM 151 (Ibatiba): Atenção! Alto risco de acidentes por falha nos freios. Redobre a atenção!"
13,Julia Oliveira,VW Gol,JKL-3084,2025-11-27,06:31,PE,101,67,RECIFE,Reação tardia ou ineficiente do condutor,"Julia Oliveira, atenção! KM 67 BR-101 (Recife): Reaja rápido! Acidentes frequentes por reação tardia. Dirija com atenção redobrada!"
14,Ana Souza,Jeep Compass,GHI-7392,2025-11-27,08:53,SC,116,5,MAFRA,Acessar a via sem observar a presença dos outros veículos,"Ana, Jeep Compass, BR-116 KM 5 (Mafra): ATENÇÃO ao acessar a via! Alto risco de colisão por falta de atenção. PRF."
15,Carlos Silva,Ford Ranger,ABC-9994,2025-11-27,19:11,BA,101,933,MUCURI,Condutor deixou de manter distância do veículo da frente,"Carlos Silva, Ford Ranger, BR-101 KM 933 (Mucuri): Atenção! Mantenha distância segura do veículo à frente. Risco de colisão!"
16,Carlos Silva,Ford Ranger,GHI-6583,2025-11-27,18:48,SC,101,"340,8",TUBARAO,Pedestre cruzava a pista fora da faixa,"Carlos Silva (Ford Ranger), BR-101 KM 340,8 (Tubarão): Atenção! Risco de pedestres cruzando fora da faixa. Redobre a atenção!"
17,Patricia Rocha,Nissan Kicks,MNO-5280,2025-11-27,11:03,MS,163,393,NOVA ALVORADA DO SUL,Condutor Dormindo,"Patricia Rocha, Kicks na BR-163, KM 393: Atenção! Alto risco de acidentes por sono neste trecho. Dirija com cuidado!"
18,Carlos Silva,VW Gol,VWX-4426,2025-11-27,08:45,SP,116,134,SAO JOSE DOS CAMPOS,Ausência de reação do condutor,"Carlos Silva, Gol, BR-116 KM 134 (SJC): Atenção! Muitos acidentes por falta de reação. Redobre a atenção e dirija com segurança!"
